u,v,key,osmid,bridge,oneway,lanes,ref,highway,maxspeed,reversed,length,name,tunnel,junction,access,geometry
1443502547,1443502540,0,560794006,,True,2,,residential,,False,7.964,Rua do Sport Clube Beira-Mar,,,,"LINESTRING (-8.6523817 40.6316266, -8.6524443 40.631573)"
1443502553,4961602585,0,176509606,,False,2,,residential,50,False,42.023,Rua de Santiago,,,,"LINESTRING (-8.6570248 40.6317329, -8.6566663 40.6314706)"
1443502553,4961599499,0,176509606,,False,2,,residential,50,True,6.134,Rua de Santiago,,,,"LINESTRING (-8.6570248 40.6317329, -8.6570713 40.6317753)"
1443502554,1443502547,0,411775913,,False,2,,residential,,False,11.371,Rua do Sport Clube Beira-Mar,,,,"LINESTRING (-8.6524483 40.6317155, -8.6523817 40.6316266)"
1443502554,1489672386,0,411775913,,False,2,,residential,,True,3.839,Rua do Sport Clube Beira-Mar,,,,"LINESTRING (-8.6524483 40.6317155, -8.6524701 40.6317458)"
1443502561,1443502575,0,785972279,,True,1,,residential,,False,88.163,Avenida da Universidade,,,,"LINESTRING (-8.6548644 40.6320546, -8.6552999 40.6327753)"
1443502575,5215817933,0,785972279,,True,1,,residential,,False,42.47,Avenida da Universidade,,,,"LINESTRING (-8.6552999 40.6327753, -8.6554908 40.6331287)"
1443502579,1443502583,0,785972279,,True,1,,residential,,False,6.256,Avenida da Universidade,,,,"LINESTRING (-8.6555413 40.6332222, -8.6555597 40.6332767)"
1443502582,1443502583,0,131114434,,True,2,,residential,,False,13.16,Rua do Sport Clube Beira-Mar,,,,"LINESTRING (-8.6557139 40.633259, -8.6555597 40.6332767)"
1443502582,5366100001,0,493286528,,True,2,EN 235,secondary,50,False,35.044,Avenida da Universidade,,,,"LINESTRING (-8.6557139 40.633259, -8.6558774 40.6335487)"
1443502583,1712843420,0,131114434,,True,2,,residential,,False,11.043,Rua do Sport Clube Beira-Mar,,,,"LINESTRING (-8.6555597 40.6332767, -8.6554341 40.6333046)"
1443502584,8879553215,0,131114434,,True,2,,residential,,False,7.248,Rua do Sport Clube Beira-Mar,,,,"LINESTRING (-8.6535421 40.6332991, -8.6535029 40.6332411)"
1443502602,1443502584,0,131114434,,True,2,,residential,,False,36.503,Rua do Sport Clube Beira-Mar,,,,"LINESTRING (-8.6537413 40.6335905, -8.6535421 40.6332991)"
1443502604,1443502624,0,131114434,,True,2,,residential,,False,39.586,Rua do Sport Clube Beira-Mar,,,,"LINESTRING (-8.6544667 40.6335801, -8.6540305 40.6337111)"
1443502622,1443502602,0,131114434,,True,2,,residential,,False,12.308,Rua do Sport Clube Beira-Mar,,,,"LINESTRING (-8.6538181 40.6336846, -8.6537413 40.6335905)"
1443502624,1443502626,0,131114434,,True,2,,residential,,False,11.418,Rua do Sport Clube Beira-Mar,,,,"LINESTRING (-8.6540305 40.6337111, -8.6539015 40.6337421)"
1443502626,1443502622,0,131114434,,True,2,,residential,,False,9.508,Rua do Sport Clube Beira-Mar,,,,"LINESTRING (-8.6539015 40.6337421, -8.6538181 40.6336846)"
